temp,humid,adc,meter
29.9,50,2835,11
29.2,50,2831,11
29.3,50,2906,11
29.9,50,2800,11
29,50,2747,11
29.2,51,2834,11
29.4,51,2789,11
29.7,51,2828,11
29.4,51,2828,11
29.4,51,2839,11
29.4,51,2833,11
29.5,51,2769,11
29.6,51,2834,11
29,51,2867,11
29.4,51,2832,11
29.5,51,2834,11
29.1,51,2832,11
29.9,51,2836,11
29.4,51,2825,11
29.4,51,2827,11
29.9,51,2936,11
29.4,51,2825,11
29.4,51,2827,11
29.5,51,2838,11
29.1,51,2834,11
29.2,51,2928,11
29.3,51,3001,10.9
29.2,51,2833,10.9
29.1,51,2838,11
29.2,51,2830,11
29.2,51,2835,11
29.8,51,2842,10.8
29.1,51,2834,11
29.2,51,2815,11
29.3,51,2988,11
29.9,51,2836,11
29.5,51,2832,11
29.1,51,2833,11
29.8,51,2837,11.1
29.8,51,283,11.1
29.7,51,2835,11.1
29.8,51,2833,11.1
29.7,51,2877,11.1
29.8,51,2814,11.1
29.6,51,2821,11.1
29.1,51,2823,11.1
29,51,2861,11.1
29.4,51,2837,11.1
29.5,51,2832,11.1
29.2,51,2832,11.1
29.3,51,2835,11.1
29.1,51,2831,11.1
29.1,51,2834,11.1
29.1,51,2834,11.1
29.4,51,2841,11.1
29.5,51,2835,11.1
29.2,51,2839,11.1
29.4,51,2839,11.1
29.5,51,2832,11.1
29.3,51,2844,11.1
29.9,51,2761,11.1
29.7,51,2835,11.1
29,51,2826,11.1
29.6,51,2837,11.1
29.2,51,2838,11.1
2901,52,2837,11.1
29.3,52,2838,11.1
29.7,52,2837,11.1
29.7,52,2838,11.1
29.9,52,2928,11.1
29.8,52,2800,11.1
29,52,2837,11.1
29.1,52,2838,11.1
29.6,52,2835,11.1
29.9,52,2859,11.1
29.8,52,2836,11.1
29.6,52,2835,11.1
29,52,2905,11.1
29.3,52,2837,11.1
29.1,52,2834,11.1
29.8,52,2838,11.1
29.4,52,2819,11.1
29,52,2774,11.1
29.2,52,2841,11.1
29.9,52,2834,11.1
29.9,52,2837,10.9
29.9,52,2832,10.9
29,52,2834,11
29.3,52,2832,11
29.2,52,2832,11
29,52,2831,11
29.3,52,2800,11
29.1,52,2833,11
29.7,52,2837,11
29.8,52,2842,11
29.7,52,2836,11
29.8,52,2842,11
29.7,52,2842,11
29.8,52,2832,10.8
29.6,52,2838,10.8
29,52,2837,10.9
29.4,52,2838,10.9
29.4,52,2835,11.1
29.4,52,2838,11.1
29.4,52,2842,11.1
29.3,52,2837,11.1
29.3,52,2843,11.1
