Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
2.76,2989,31.9,59,Mustard,2.76,custom_meter
6.11,2951,31.9,59,Mustard,6.11,custom_meter
8.77,2913,31.9,59,Mustard,8.77,custom_meter
7.09,2938,31.5,59,Mustard,7.09,custom_meter
9.68,2897,31.5,59,Mustard,9.68,custom_meter
6.8,2942,31.4,59,Mustard,6.8,custom_meter
10.56,2879,31.4,59,Mustard,10.56,custom_meter
10.24,2886,31.6,59,Mustard,10.24,custom_meter
5.37,2960,31.7,59,Mustard,5.37,custom_meter
12.57,2805,31.7,59,Mustard,12.57,custom_meter
8.83,2912,31.3,59,Mustard,8.83,custom_meter
10.95,2870,31.6,59,Mustard,10.95,custom_meter
7.09,2938,31.8,59,Mustard,7.09,custom_meter
9.79,2895,31.8,59,Mustard,9.79,custom_meter
5.62,2957,31.9,59,Mustard,5.62,custom_meter
12.66,2782,31.9,59,Mustard,12.66,custom_meter
4.16,2974,31.0,59,Mustard,4.16,custom_meter
10.74,2875,31.0,59,Mustard,10.74,custom_meter
7.87,2927,31.0,59,Mustard,7.87,custom_meter
12.0,2838,31.0,59,Mustard,12.0,custom_meter
5.37,2960,31.2,59,Mustard,5.37,custom_meter
12.65,2777,31.2,59,Mustard,12.65,custom_meter
3.52,2981,31.1,59,Mustard,3.52,custom_meter
8.77,2913,31.1,59,Mustard,8.77,custom_meter
6.11,2951,31.7,59,Mustard,6.11,custom_meter
11.22,2863,31.7,59,Mustard,11.22,custom_meter
7.02,2939,31.8,59,Mustard,7.02,custom_meter
7.38,2934,31.9,59,Mustard,7.38,custom_meter
10.29,2885,31.9,59,Mustard,10.29,custom_meter
6.72,2943,31.7,59,Mustard,6.72,custom_meter
8.77,2913,31.7,59,Mustard,8.77,custom_meter
2.26,2994,31.5,59,Mustard,2.26,custom_meter
9.94,2892,31.5,59,Mustard,9.94,custom_meter
10.52,2880,31.2,59,Mustard,10.52,custom_meter
7.8,2928,31.7,60,Mustard,7.8,custom_meter
5.46,2959,31.7,59,Mustard,5.46,custom_meter
11.62,2719,31.7,59,Mustard,11.62,custom_meter
7.66,2930,31.2,59,Mustard,7.66,custom_meter
2.36,2993,31.4,59,Mustard,2.36,custom_meter
12.45,2815,31.4,59,Mustard,12.45,custom_meter
7.8,2928,31.3,59,Mustard,7.8,custom_meter
10.82,2873,31.3,59,Mustard,10.82,custom_meter
6.26,2949,31.4,59,Mustard,6.26,custom_meter
10.99,2869,31.4,59,Mustard,10.99,custom_meter
11.07,2867,31.7,59,Mustard,11.07,custom_meter
6.49,2946,31.2,59,Mustard,6.49,custom_meter
9.24,2905,31.2,59,Mustard,9.24,custom_meter
5.54,2958,31.7,59,Mustard,5.54,custom_meter
11.6,2852,31.7,59,Mustard,11.6,custom_meter
3.98,2976,31.8,59,Mustard,3.98,custom_meter
11.36,2859,31.8,59,Mustard,11.36,custom_meter
11.11,2866,31.0,59,Mustard,11.11,custom_meter
8.2,2922,31.4,59,Mustard,8.2,custom_meter
12.6,2768,31.9,59,Mustard,12.6,custom_meter
10.78,2874,31.9,59,Mustard,10.78,custom_meter
10.47,2881,31.5,59,Mustard,10.47,custom_meter
7.66,2930,31.5,59,Mustard,7.66,custom_meter
5.62,2957,31.7,59,Mustard,5.62,custom_meter
12.07,2835,31.7,59,Mustard,12.07,custom_meter
6.72,2943,31.8,59,Mustard,6.72,custom_meter
9.68,2897,31.8,59,Mustard,9.68,custom_meter
4.95,2965,31.2,59,Mustard,4.95,custom_meter
11.18,2864,31.2,59,Mustard,11.18,custom_meter
10.74,2875,31.2,59,Mustard,10.74,custom_meter
2.46,2992,31.9,59,Mustard,2.46,custom_meter
12.39,2751,31.9,59,Mustard,12.39,custom_meter
9.41,2902,31.7,59,Mustard,9.41,custom_meter
10.47,2881,31.7,59,Mustard,10.47,custom_meter
7.93,2926,31.0,59,Mustard,7.93,custom_meter
10.56,2879,31.0,59,Mustard,10.56,custom_meter
3.42,2982,31.7,59,Mustard,3.42,custom_meter
11.18,2864,31.7,59,Mustard,11.18,custom_meter
5.37,2960,31.8,59,Mustard,5.37,custom_meter
10.43,2882,31.8,59,Mustard,10.43,custom_meter
5.62,2957,31.0,59,Mustard,5.62,custom_meter
10.99,2869,31.0,59,Mustard,10.99,custom_meter
6.49,2946,31.4,59,Mustard,6.49,custom_meter
11.22,2863,31.4,59,Mustard,11.22,custom_meter
5.87,2954,31.4,59,Mustard,5.87,custom_meter
10.78,2874,31.4,59,Mustard,10.78,custom_meter
11.21,2707,31.4,59,Mustard,11.21,custom_meter
3.89,2977,31.4,59,Mustard,3.89,custom_meter
11.63,2851,31.4,59,Mustard,11.63,custom_meter
6.57,2945,31.9,59,Mustard,6.57,custom_meter
10.91,2871,31.9,59,Mustard,10.91,custom_meter
11.11,2866,31.4,59,Mustard,11.11,custom_meter
5.79,2955,31.8,59,Mustard,5.79,custom_meter
10.99,2869,31.8,59,Mustard,10.99,custom_meter
5.37,2960,31.5,59,Mustard,5.37,custom_meter
11.36,2859,31.5,59,Mustard,11.36,custom_meter
7.45,2933,31.6,59,Mustard,7.45,custom_meter
4.78,2967,31.7,59,Mustard,4.78,custom_meter
7.02,2939,31.1,59,Mustard,7.02,custom_meter
7.87,2927,31.3,59,Mustard,7.87,custom_meter
10.99,2869,31.3,59,Mustard,10.99,custom_meter
5.54,2958,31.3,59,Mustard,5.54,custom_meter
9.68,2897,31.3,59,Mustard,9.68,custom_meter
4.25,2973,31.6,59,Mustard,4.25,custom_meter
5.46,2959,31.6,59,Mustard,5.46,custom_meter
10.52,2880,31.9,59,Mustard,10.52,custom_meter
6.8,2942,31.5,59,Mustard,6.8,custom_meter
10.78,2874,31.5,59,Mustard,10.78,custom_meter
7.66,2930,31.7,59,Mustard,7.66,custom_meter
12.49,2812,31.7,59,Mustard,12.49,custom_meter
8.95,2910,31.0,59,Mustard,8.95,custom_meter
9.89,2893,31.0,59,Mustard,9.89,custom_meter
10.99,2869,31.5,59,Mustard,10.99,custom_meter
2.85,2988,31.5,59,Mustard,2.85,custom_meter
5.62,2957,31.8,59,Mustard,5.62,custom_meter
11.26,2862,31.8,59,Mustard,11.26,custom_meter
5.37,2960,31.9,59,Mustard,5.37,custom_meter
11.18,2864,31.9,59,Mustard,11.18,custom_meter
3.33,2983,31.5,59,Mustard,3.33,custom_meter
10.19,2887,31.5,59,Mustard,10.19,custom_meter
12.05,2836,31.7,59,Mustard,12.05,custom_meter
10.82,2873,31.2,59,Mustard,10.82,custom_meter
10.95,2870,31.9,59,Mustard,10.95,custom_meter
11.11,2866,31.1,59,Mustard,11.11,custom_meter
6.95,2940,31.2,59,Mustard,6.95,custom_meter
10.38,2883,31.2,59,Mustard,10.38,custom_meter
6.72,2943,31.6,59,Mustard,6.72,custom_meter
7.8,2928,31.6,59,Mustard,7.8,custom_meter
9.12,2907,31.0,59,Mustard,9.12,custom_meter
11.26,2862,31.7,59,Mustard,11.26,custom_meter
9.24,2905,31.9,59,Mustard,9.24,custom_meter
