Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
11.68,2926,30.9,53.0,Groundnut,11.68,custom_meter
10.96,2929,30.5,53.0,Groundnut,10.96,custom_meter
11.92,2925,30.9,53.0,Groundnut,11.92,custom_meter
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
11.92,2925,30.5,53.0,Groundnut,10.8,merged
11.2,2928,30.9,53.0,Groundnut,11.2,custom_meter
12.4,2923,30.3,53.0,Groundnut,12.4,custom_meter
6.64,2946,30.1,53.0,Groundnut,6.64,custom_meter
11.44,2927,30.2,53.0,Groundnut,11.44,custom_meter
11.44,2927,30.7,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.44,2927,30.3,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.7,53.0,Groundnut,10.9,merged
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.2,2928,30.8,53.0,Groundnut,10.9,merged
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.92,2925,30.8,53.0,Groundnut,10.9,merged
12.88,2921,30.2,53.0,Groundnut,12.88,custom_meter
11.92,2925,30.7,53.0,Groundnut,11.92,custom_meter
11.68,2926,30.4,53.0,Groundnut,11.68,custom_meter
9.97,2933,30.1,53.0,Groundnut,9.97,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.68,2926,30.6,53.0,Groundnut,11.68,custom_meter
11.2,2928,30.4,53.0,Groundnut,10.9,merged
11.44,2927,30.1,53.0,Groundnut,10.9,merged
14.95,2912,30.4,53.0,Groundnut,14.95,custom_meter
11.2,2928,30.5,53.0,Groundnut,11.2,custom_meter
11.68,2926,30.5,53.0,Groundnut,11.68,custom_meter
11.44,2927,30.5,53.0,Groundnut,10.8,merged
11.44,2927,30.5,53.0,Groundnut,10.8,merged
11.44,2927,30.5,53.0,Groundnut,10.8,merged
12.16,2924,30.4,53.0,Groundnut,10.8,merged
11.44,2927,30.1,53.0,Groundnut,10.9,merged
11.92,2925,30.4,53.0,Groundnut,11.92,custom_meter
11.2,2928,30.1,53.0,Groundnut,10.9,merged
11.44,2927,30.3,53.0,Groundnut,11.44,custom_meter
12.16,2924,30.0,53.0,Groundnut,12.16,custom_meter
11.2,2928,30.3,53.0,Groundnut,11.2,custom_meter
11.2,2928,30.0,53.0,Groundnut,10.8,merged
11.68,2926,30.9,53.0,Groundnut,11.68,custom_meter
10.96,2929,30.7,53.0,Groundnut,10.8,merged
10.96,2929,30.3,53.0,Groundnut,10.96,custom_meter
12.64,2922,30.1,53.0,Groundnut,12.64,custom_meter
11.44,2927,30.3,53.0,Groundnut,11.44,custom_meter
15.17,2911,30.0,53.0,Groundnut,15.17,custom_meter
12.64,2922,30.5,53.0,Groundnut,12.64,custom_meter
11.44,2927,30.3,53.0,Groundnut,11.44,custom_meter
11.2,2928,30.2,53.0,Groundnut,10.9,merged
8.46,2939,30.2,53.0,Groundnut,8.46,custom_meter
