Crop,Samples,Moisture Range (%),ADC Range,Mean Moisture (%),Std Moisture (%)
Groundnut,3424,-19.19 - 26.39,2852 - 3029,12.61,3.40
Mustard,1293,0.29 - 12.67,2695 - 3013,8.84,3.02
